Step,Train Accuracy,Validation Accuracy
0,0.8874461054801941,0.9156633615493774
1,0.93066668510437,0.9565438628196716
2,0.9362207055091858,0.9264749884605408
3,0.939129114151001,0.9619945883750916
4,0.9414752125740052,0.8170110583305359
5,0.94231379032135,0.955166220664978
6,0.9439510107040404,0.9580413103103638
7,0.9447762966156006,0.9478287100791932
8,0.9445866346359252,0.9625936150550842
9,0.9540107250213624,0.9729260206222534
10,0.955288589000702,0.973495066165924
11,0.9562004208564758,0.9237496256828308
12,0.9566729068756104,0.9771189093589784
13,0.9571088552474976,0.9765199422836304
14,0.9580273032188416,0.9769392013549804
15,0.9579274654388428,0.979784369468689
16,0.9581437706947328,0.9683737754821776
17,0.9585763812065125,0.979365050792694
18,0.9584765434265136,0.8049415946006775
19,0.9627726674079896,0.9790356159210204
20,0.9631653428077698,0.9800838828086852
21,0.9640904664993286,0.9614854454994202
22,0.96438330411911,0.9777777791023254
23,0.9641470313072203,0.9805630445480348
24,0.9643566608428956,0.9769092798233032
25,0.9649124145507812,0.9800539016723632
26,0.9655579924583436,0.981072187423706
27,0.9649523496627808,0.9675052165985109
28,0.9651120901107788,0.981910765171051
29,0.9683632254600524,0.981671154499054
30,0.96815025806427,0.9820904731750488
31,0.9685429334640504,0.9777478575706482
32,0.9690487384796144,0.9803833365440368
33,0.9687825441360474,0.9814615249633788
34,0.9689589142799376,0.982958972454071
35,0.968735933303833,0.9815813302993774
36,0.9690920114517212,0.9783767461776732
37,0.9689156413078308,0.9796346426010132
38,0.9693316221237184,0.9828391671180724
39,0.97105872631073,0.9832884073257446
40,0.9711751937866212,0.982300102710724
41,0.9714014530181884,0.9837376475334167
42,0.971225082874298,0.9833183884620668
43,0.9714646935462952,0.9839772582054138
44,0.9712284207344056,0.9811021089553832
45,0.9716643691062928,0.9832584857940674
46,0.9710654020309448,0.9840371608734132
47,0.9718607068061828,0.9839772582054138
48,0.9716477394104004,0.9834681153297424
49,0.9726526737213136,0.9836478233337402
50,0.9725528955459596,0.9838574528694152
51,0.97273588180542,0.9840670824050904
52,0.9724563360214232,0.9844564199447632
53,0.9730221033096312,0.9836178421974182
54,0.9724430441856384,0.984246790409088
55,0.973241686820984,0.9840071797370912
56,0.9727558493614196,0.9840071797370912
57,0.9730520248413086,0.9848158359527588
58,0.973185122013092,0.9841569066047668
59,0.9738041162490844,0.9843066930770874
60,0.973764181137085,0.9841569066047668
61,0.9737142324447632,0.9841868877410888
62,0.9739438891410828,0.9841868877410888
63,0.973720908164978,0.9842767119407654
64,0.9741102457046508,0.984636127948761
65,0.9741801023483276,0.9849056601524352
66,0.9741435050964355,0.9835280179977416
67,0.9736377000808716,0.9847259521484376
68,0.9737941026687622,0.9847259521484376
69,0.9742167592048644,0.984636127948761
70,0.9742134213447572,0.9844564199447632
71,0.9745528101921082,0.9847858548164368
72,0.9743431806564332,0.9846660494804382
73,0.9742333889007568,0.9847858548164368
74,0.9744163751602172,0.9850853681564332
75,0.974509596824646,0.985444724559784
76,0.974399745464325,0.9849954843521118
77,0.9741934537887572,0.9849355816841124
78,0.9745328426361084,0.984606146812439
79,0.9745295643806458,0.9848158359527588
80,0.9747524857521056,0.984875738620758
81,0.974509596824646,0.984875738620758
82,0.974263310432434,0.9846960306167604
83,0.974732518196106,0.9851452708244324
84,0.974675953388214,0.984845757484436
85,0.974855661392212,0.9844864010810852
86,0.9748756289482116,0.9853249192237854
87,0.9743332266807556,0.9852949976921082
88,0.9745062589645386,0.984875738620758
89,0.974572777748108,0.9851152896881104
90,0.97482568025589,0.9851751923561096
91,0.9747890830039978,0.9849954843521118
92,0.9748090505599976,0.9849655628204346
93,0.974479615688324,0.9849655628204346
94,0.9751218557357788,0.984845757484436
95,0.9745495319366456,0.9847858548164368
96,0.9751251935958862,0.9851452708244324
97,0.9749488234519958,0.9850553870201112
98,0.9746992588043212,0.9847858548164368
99,0.974705934524536,0.9852051734924316
100,0.974719226360321,0.9851751923561096
101,0.975065290927887,0.9852949976921082
102,0.9746493697166444,0.9849056601524352
103,0.9745628237724304,0.984875738620758
104,0.9753315448760986,0.9849655628204346
105,0.9749422073364258,0.9850254654884338
106,0.975181758403778,0.9849954843521118
107,0.9748989343643188,0.9850853681564332
108,0.9749621748924256,0.9850254654884338
109,0.97482568025589,0.9850254654884338
110,0.9748523235321044,0.9850553870201112
111,0.9746859669685364,0.9852051734924316
112,0.9751884341239928,0.9851452708244324
113,0.9747491478919984,0.9850553870201112
114,0.974855661392212,0.9851152896881104
115,0.9746726155281068,0.9852650761604308
116,0.9754247069358826,0.9851152896881104
117,0.9754047393798828,0.9848158359527588
118,0.9753282070159912,0.9851152896881104
119,0.9750087261199952,0.9851751923561096
120,0.9749654531478882,0.9850553870201112
121,0.9748756289482116,0.9850254654884338
122,0.9749155640602112,0.9850254654884338
123,0.9752084016799928,0.9852650761604308
124,0.9749454855918884,0.9852051734924316
125,0.9748623371124268,0.9852650761604308
126,0.9750120639801024,0.9850254654884338
127,0.9746127128601074,0.9851751923561096
128,0.9751651287078856,0.9851751923561096
129,0.9750619530677797,0.9850254654884338
130,0.97479909658432,0.9852051734924316
131,0.9749255180358888,0.9850853681564332
132,0.9754080772399902,0.9849655628204346
133,0.97482568025589,0.9850553870201112
134,0.9748090505599976,0.9850853681564332
135,0.9749621748924256,0.9850254654884338
136,0.9750387072563172,0.9851152896881104
137,0.9753282070159912,0.9851452708244324
138,0.9748224020004272,0.9850553870201112
139,0.9751585125923156,0.9850853681564332
140,0.9752982258796692,0.9851452708244324
